,title,overview,release_date,original_language,vote_count,vote_average,popularity
4725,Jumanji: The Next Level,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",2019-12-04,en,7120,7.0,114.008
4726,The Nun,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",2018-09-05,en,5335,5.8,116.535
4727,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",2016-02-11,en,14183,7.7,112.799
4728,No Manches Frida 2,Ex-con Zequi and company come back for a new adventure.,2019-03-15,es,711,8.0,109.95
4729,Fast & Furious Presents: Hobbs & Shaw,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",2019-08-01,en,5870,6.9,125.751
4730,How I Became a Superhero,"Paris 2020. While superheroes have assimilated into the Parisian society, they discover a new drug that gives themselves personal superpowers to mere mortals. Lieutenants Moreau and Schaltzmann are investigating the case with the support of two ex-superheroes, Monte Carlo and Callista. They'll do whatever it takes to dismantle the traffic. But Moreau's past resurfaces, and the investigation becomes more complicated.",2020-11-19,fr,392,6.2,111.788
4731,Dangerous,"A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.",2021-11-05,en,306,6.2,103.496
4732,From Straight A's to XXX,"When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.",2017-02-11,en,92,5.7,109.194
4733,The Lion King II: Simba's Pride,"The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?",1998-10-24,en,3847,7.0,110.923
4734,The Penitent Thief,"The story of the two unnamed men who were crucified alongside Jesus and how they came to be beside him on the cross that fateful day. Dismas and his brother Jotham, along with Gestas, another young man who will share their fate, suffer tragedy and injustice at the hands of a band of thieves and a ruthless Roman centurion. Theirs is a story of survival against the odds, but they cannot outrun their destiny.",2021-02-25,en,14,5.6,104.37
4735,Dragon Ball: Yo! Son Goku and His Friends Return!!,"A 35-minute Dragon Ball animated short film that premiered at the Jump Super Anime Tour in September 2008. It is the first animated Dragon Ball feature in twelve years, following the tenth anniversary film The Path to Power.",2008-09-21,ja,171,6.4,152.45
4736,The Shack,"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever.",2017-03-03,en,1726,7.5,102.841
4737,The Hangover Part II,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",2011-05-25,en,9070,6.4,116.53
4738,High School Lynching,A high school student is captured and sexually tortured.,1975-07-23,ja,0,0.0,101.055
4739,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",2016-12-10,en,8016,8.1,113.71
4740,xXx: Return of Xander Cage,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",2017-01-13,en,6548,6.0,145.799
4741,Yu-Gi-Oh!: The Dark Side of Dimensions,Yugi and Kaiba have a special duel that transcends dimensions.,2016-04-23,ja,285,7.6,112.996
4742,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",2022-10-19,en,0,0.0,115.282
4743,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013-04-18,en,19772,6.9,113.611
4744,Alita: Battle Angel,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",2019-01-31,en,7643,7.2,101.16
4745,Dreamcatcher,"The film centers on two estranged sisters who, along with their friends, become entrenched in a 48 hour whirlwind of violence after a traumatic experience at an underground music festival.",2021-03-05,en,91,6.1,102.158
4746,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007-07-25,en,6890,7.0,109.026
4747,Curious George: Cape Ahoy,"With help from a local fisherman, his niece and an adorable baby seal, George embarks on a quest in search of the long-lost shipwreck of legendary sea captain Trumpet Tooter.",2021-09-30,en,6,2.2,108.398
4748,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",2015-11-25,en,6081,7.4,102.881
4749,Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018-12-06,en,11636,8.4,113.481
4750,Naruto Shippuden the Movie: The Lost Tower,"Assigned on a mission to capture Mukade, a missing-nin, Naruto Uzumaki sets out for the once glorious historic ruins of ""Ouran"", where he pursues and corners the rouge ninja. Mukade's goal is revealed to be a dormant leyline within the ruins; he unleashes the power of the leyline, causing a light to envelop Naruto, sending him into the past, 20 years before the series began. When Naruto awakens, he comes into contact with the Fourth Hokage, Minato Namikaze.",2010-07-31,ja,320,7.0,106.108
4751,Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",2012-09-27,en,5776,6.3,100.6
4752,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017-02-24,en,14490,7.6,101.15
4753,Spiral: From the Book of Saw,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.",2021-05-12,en,1322,6.1,108.258
4754,Broker,"Sang-hyeon is the owner of a launderette and a volunteer at the nearby church, where his friend Dong-soo works. The two run an illegal business together: Sang-hyeon occasionally steals babies from the church's baby box with the help of Dong-soo, who deletes the church's CCTV footage that shows a baby was left there, and they sell them on the adoption black market. But when a young mother, So-young, comes back after having abandoned her baby, she discovers them and decides to go with them on a road-trip to interview the baby's potential infertile parents. Meanwhile, two detectives, Soo-jin and Detective Lee, are on their trail.",2022-06-08,ko,30,7.1,94.892
4755,I Want to Talk About Duras,"In 1982, Yann Andréa and Marguerite Duras have been living together for two years. She is almost 70 years old, while he is 38 years her junior. Andréa asks journalist and writer Michèle Manceaux to interview him about his life with Duras, an obsession that both impassions him and drives him mad. He believes by entrusting their story to Manceaux, he may gain more clarity of the relationship. What follows is an intense and compelling conversation delving into the deepest recesses of modern love.",2022-02-09,fr,9,5.6,93.139
4756,Snotty Boy,"1960's Siegheilkirchen, a small town in the Austrian hinterland is steeped in reactionary and ultra-Catholic attitudes. The son of a hard-working innkeeper and his wife, called Snotty Boy by all and sundry, is at odds with the narrow-minded confines of his home town. But his unstoppable talent for drawing gives him an outlet for his discontent.",2022-01-13,de,5,5.1,105.747
4757,The Proposal,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",2009-06-01,en,5596,7.1,105.256
4758,Wrong Turn 3: Left for Dead,"A group of people find themselves trapped in the backwoods of West Virginia, fighting for their lives against a group of vicious and horribly disfigured inbred cannibals.",2009-10-20,en,886,5.6,115.953
4759,Jennifer Lopez:  Halftime,Global superstar Jennifer Lopez reflects on her multifaceted career and the pressure of life in the spotlight in this intimate documentary.,2022-06-08,en,95,7.0,102.858
4760,Brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",2012-06-21,en,11727,7.0,106.434
4761,Maleficent,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",2014-05-28,en,11762,7.1,115.098
4762,Crank: High Voltage,Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.,2009-04-16,en,2306,6.0,115.607
4763,Fortress,"The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound, hellbent on revenge on Robert, forcing the retired officer and his son to save the day.",2021-12-17,en,246,6.1,85.408
4764,The Twilight Saga: New Moon,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",2009-11-18,en,8017,6.0,98.022
4765,The First Purge,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",2018-07-04,en,3383,6.0,113.248
4766,Girl in the Picture,"A young mother’s mysterious death and her son’s subsequent kidnapping blow open a decades-long mystery about the woman’s true identity, and the murderous federal fugitive at the center of it all.",2022-07-06,en,121,7.3,104.86
4767,Transformers: The Last Knight,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",2017-06-16,en,5115,6.1,114.39
4768,The Addams Family,"The Addams family's lives begin to unravel when they face-off against a treacherous, greedy crafty reality-TV host while also preparing for their extended family to arrive for a major celebration.",2019-10-10,en,1817,6.7,113.715
4769,The Addams Family,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",1991-11-22,en,3670,7.0,136.509
4770,Senior Couple And Exchange Sex,"Local college couple Won-young and Jun-seok have a long time to graduate, but the two who Jun-seok already got a job and had nothing to do until graduation graduated from vacation and lived in Tokyo. Let's go to the house of a close senior couple, Ari and Sungho.  One day before they came, Ari and Seong-ho fought out loud. I greet you welcomingly, but I feel a cold atmosphere for some reason. Seong-ho tells Jun-suk about the couple's fight the other day, and after having sex that night, Jor explains to the young couple the situation of Seong-ho's husband and procrastinates to do it next time. In the end, Won-young can't tolerate her sexual desires and goes to Seong-ho to tempt her. What will happen to the love of the two couples?",2019-12-23,ko,0,0.0,78.4
4771,Son,"When a young boy contracts a mysterious illness, his mother must decide how far she will go to protect him from terrifying forces in her past.",2021-03-18,en,199,6.1,94.157
4772,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012-03-07,en,4835,6.3,100.612
4773,Hercules,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!",1997-06-20,en,6274,7.5,103.999
4774,Marry Me,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",2022-02-09,en,517,7.0,105.806
4775,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",2018-03-28,en,13185,7.6,100.993
4776,Beauty Salon: Special Services 4,"Focusing on the relationship between men and women in a beauty salon, Dae-hye, the director of a korean erotic film beauty salon, becomes more difficult to sell in a depression. The building owner’s rent pressure also comes in, and employee Juhee suggests to Dae-hye to do a bikini service, saying that a bikini beauty salon has hit the jackpot in a foreign country. Surprisingly, bikini service is on the jackpot and guests are increasingly looking for a more powerful service.",2020-05-04,ko,0,0.0,105.451
4777,The Youngest Sister-in-law 2,"Da-hyun, the youngest of the three sisters, usually follows her brother-in-law well. When the youngest sister-in-law said that she found a boyfriend, brother-in-law Jun-seo congratulates her and prepares dinner. The next day, Da-hyun's boyfriend Jin-goo, goes to her house to thank her. Upon arriving, Jin-goo witnessed a shocking scene...",2020-03-12,ko,0,0.0,91.472
4778,The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",2010-06-10,en,5056,6.5,113.177
4779,American Pie Presents: The Book of Love,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High. Unfortunately for them, the book is ruined, and with incomplete advice, the Bible leads them on a hilarious journey to lose their virginity.",2009-06-18,en,1496,5.2,103.176
4780,The Harder They Fall,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",2021-10-22,en,753,6.7,110.468
4781,Love & Other Drugs,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",2010-11-22,en,4289,7.0,106.905
4782,Pinocchio,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket.",1940-02-23,en,4951,7.1,120.892
4783,The SpongeBob SquarePants Movie,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",2004-11-14,en,2343,7.0,103.626
4784,Ted,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",2012-06-29,en,10782,6.4,102.406
4785,"Barbie: Big City, Big Dreams","Barbie swaps the sunny shores of Malibu for the bright lights of Broadway to attend an excusive summer performing arts program and meets…Barbie!  Fast friends, the two discover they share more than a name as they explore New York City and all the amazing things they have in common.  As they compete for the coveted once-in-a-lifetime Spotlight Solo from Times Square, the friends discover competition isn’t all about winning, it’s about striving to be your best, overcoming doubts, and sharing the spotlight.",2021-08-20,en,139,7.1,110.08
4786,Jonah Hex,"Gunslinger Jonah Hex is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull, a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child.",2010-06-18,en,1204,4.9,93.321
4787,Time Is Up,"Vivien, an accomplished student with a passion for physics, and Roy, a troubled young man, are involved in an accident that forces them to reclaim their lives one minute at the time.",2021-09-09,en,412,6.4,92.251
4788,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",2012-11-26,en,16187,7.3,125.338
4789,Chappie,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",2015-03-04,en,6957,6.8,95.844
4790,Delicious Room Salon Service 2,,2019-09-30,ko,0,0.0,113.012
4791,Heart Parade,"A careerist from Warsaw, who does not like dogs, has to go to Kraków for professional reasons, where she meets a charming widower, his son and their four-legged pet.",2022-06-15,pl,34,5.8,103.54
4792,The Mystery of Lop Nur,"The film mainly tells about the bizarre cases in the Lop Nur area during the Republic of China. Shi Chuqi, the president of the mysterious incident investigation organization ""Seven Sons"", led the team members to solve the mystery. The film focuses on many mysterious and unresolved events based on elements such as exploring the unknown and revealing the truth. It also adds science fiction elements of ancient space civilization to satisfy the audience's curiosity.",2022-02-23,zh,1,2.0,95.858
4793,Weathering with You,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",2019-06-19,ja,1534,8.1,101.636
4794,Mortal Kombat Legends: Battle of the Realms,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",2021-08-30,en,280,7.8,113.272
4795,Wrong Turn,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",2021-01-26,en,771,6.0,100.746
4796,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",2015-06-09,en,18118,7.9,111.27
4797,Zero Fucks Given,"Cassandre, 26, is a flight attendant for a low-cost airline. Based in Lanzarote, she’s always willing to take on extra hours and carries out her duties with robotic efficiency. On the side, she just goes with the flow and floats between Tinder, parties and lazy days. When she suddenly gets dismissed, she is forced to return home.",2022-03-02,fr,85,6.6,93.34
4798,Captain America: The First Avenger,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",2011-07-22,en,18931,7.0,100.187
4799,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",2010-06-24,en,5051,6.3,112.154
4800,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",2012-01-01,en,10812,7.3,105.562
4801,Carriers,"A deadly virus has spread across the globe. Contagion is everywhere, no one is safe, and no one can be trusted. Four friends race through the back roads of the American West on their way to a secluded utopian beach in the Gulf of Mexico where they could peacefully wait out the pandemic. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal their fates.",2009-09-04,en,1148,6.1,118.917
4802,Pokémon the Movie: Secrets of the Jungle,"In the Forest of Okoya, Koko is a feral child who has been raised as a Pokémon by the Mythical Pokémon Zarude. Koko has grown up never doubting that he is a Pokémon even though he can't really use any sort of moves. Ash Ketchum and Pikachu meet Koko and help him protect the Great Tree from the crooked scientist Dr. Zed.",2020-12-25,ja,99,7.1,114.04
4803,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,en,11906,6.4,110.181
4804,Fantastic Beasts and Where to Find Them,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",2016-11-16,en,16944,7.4,106.247
4805,Descendants: The Royal Wedding,"Happily-ever-after continues for Auradon's power couple as they prepare to say ""I do"" at an epic celebration with their friends and family, but Hades threatens to ruin it all.",2021-08-13,en,119,6.9,100.5
4806,Spirit: Stallion of the Cimarron,"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",2002-05-24,en,3913,7.7,100.196
4807,I Want You,"The sexy Gin is the new love of Hache, but this can not forget his former girlfriend, so the love triangle is inevitable.",2012-06-22,es,1557,7.4,108.643
4808,Sex and the City,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,2008-05-12,en,1840,6.6,107.924
4809,Home Sweet Home Alone,"After being left at home by himself for the holidays, 10-year-old Max Mercer must work to defend his home from a married couple who tries to steal back a valuable heirloom.",2021-11-12,en,432,5.1,93.922
4810,Voyagers,"With the future of the human race at stake, a group of young men and women -- bred for intelligence and obedience -- embark on an expedition to colonize a distant planet. When they uncover disturbing secrets about the mission, they defy their training and begin to explore their most primitive natures. As life on the ship descends into chaos, they soon become consumed by fear, lust and an insatiable hunger for power.",2021-04-08,en,560,6.1,77.655
4811,One Piece 3D: Straw Hat Chase,"One Piece 3D: Straw Hat Chase is the 11th One Piece film of the series, and is set before the time-skip. This is One Piece's first movie release to be in 3D CGI. The movie is also the first One Piece film since Movie 3 to be a double-feature. This time, the film was featured with ""Toriko 3D: Gourmet Adventure"", both being billed as the ""Jump Heroes Film"". The double-feature was released on March 19, 2011.granmaster",2011-03-19,ja,107,6.8,118.065
4812,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",2019-03-14,en,4864,8.3,95.703
4813,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,en,11234,7.6,110.544
4814,Wrong Turn 2: Dead End,Retired military commander Colonel Dale Murphy hosts the simulated post-apocalyptic reality show where participants are challenged to survive a remote West Virginia wasteland. But the show turns into a nightmarish showdown when each realizes they are being hunted by an inbred family of cannibals determined to make them all dinner!,2007-08-25,en,1058,6.0,108.577
4815,The Legend of La Llorona,"Leo San Juan, el joven héroe de ""La Leyenda de la Nahuala"", está de regreso en una tenebrosa misión: atrapar a La Llorona, el maléfico espectro que desde hace siglos mantiene aterrorizado al pueblo de Xochimilco. Utilizando su experiencia como cazafantasmas, Leo y sus compañeros de aventura, logran dar con La Llorona y hacen hasta lo imposible por vencerla. Sin embargo, todos sus esfuerzos no sólo resultan inútiles, sino que ellos mismos terminan sufriendo la maldición de La Llorona...",2011-10-21,es,186,7.7,93.274
4816,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,2015-04-01,en,9242,7.2,101.184
4817,X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016-05-18,en,11473,6.5,97.213
4818,My Fake Boyfriend,"A young man in a tricky situation follows the advice of his unconventional best friend and uses social media to create a fake boyfriend to keep his awful ex-lover out of his life. But everything backfires when he meets the real love of his life, and breaking up with his fake boyfriend proves hard to do.",2022-06-10,en,69,6.1,101.118
4819,The Vault,"When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",2021-03-04,en,663,7.0,106.809
4820,Pursuit,"Detective Breslin crosses paths with Calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. When Calloway escapes police custody, Breslin joins forces with a no-nonsense female cop to reclaim his prisoner. But is Calloway’s crime-boss father somehow involved in this explosive situation?",2022-02-18,en,45,5.5,86.207
4821,Tom Clancy's Without Remorse,An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife.,2021-04-29,en,1988,7.1,104.525
4822,No Manches Frida,"After his release from prison, bank robber Zequi sets off to recover the stolen money that was buried by his dizzy accomplice. He's horrified to learn that a high school gymnasium is now standing over the site where the loot is stashed. Needing to infiltrate the building, Zequi lands a job as a substitute teacher for a group of wild and unruly students. As the ex-con tries to lay down the law, he starts to realize that life in jail may have been easier than trying to deal with rebellious teens.",2016-09-02,es,660,7.8,92.726
4823,Ghost Mansion,"Horror webtoon writer Ji-woo arrives at a shabby apartment called Gwanglim Mansion in search of ideas. The middle-aged caretaker with an expressionless facial expression unravels a bundle of strange events that happened in the apartment, and rooms 504, 708... The more Ji-woo hears the story, the more he becomes obsessed with the Ghost Mansion.",2021-06-30,ko,90,7.3,105.461
